dept;siren;raison_sociale;nature_juridique;mode_financ;nb_membres;total_pop_tot;total_pop_mun;dep_com;insee;siren_membre;nom_membre;ptot_2025;pmun_2025
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01304;210103040;Pont-d'Ain;2 912;2 862
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01199;210101994;Jujurieux;2 246;2 209
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01363;210103636;Saint-Jean-le-Vieux;1 873;1 799
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01314;210103149;Priay;1 826;1 803
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01273;210102737;Neuville-sur-Ain;1 823;1 798
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01303;210103032;Poncin;1 792;1 766
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01068;210100681;Cerdon;771;755
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01430;210104303;Varambon;675;664
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01056;210100566;Boyeux-Saint-Jérôme;370;362
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01200;210102000;Labalme;213;207
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01331;210103313;Saint-Alban;196;195
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01077;210100772;Challes-la-Montagne;187;185
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01404;210104048;Serrières-sur-Ain;137;135
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;14;15 156;14 873;01;01242;210102422;Mérignat;135;133
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01034;210100343;Belley;9 584;9 270
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01138;200099406;Culoz-Béon;3 485;3 416
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01036;200086411;Valromey-sur-Séran;1 375;1 350
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01338;200060143;Groslée-Saint-Benoit;1 258;1 232
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01098;200063121;Chazey-Bons;1 186;1 165
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01022;210100228;Artemare;1 156;1 141
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01061;210100616;Brens;1 151;1 117
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01454;210104543;Virignin;1 143;1 122
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01452;210104527;Virieu-le-Grand;1 134;1 110
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01073;210100731;Ceyzérieu;1 051;1 028
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01286;200059913;Parves et Nattages;980;943
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01294;210102943;Peyrieu;937;918
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01079;210100798;Champagne-en-Valromey;857;826
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01058;210100582;Brégnier-Cordon;831;812
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01187;931304075;Haut Valromey;802;777
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01453;200086403;Arvière-en-Valromey;731;715
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01015;200053668;Arboys en Bugey;699;688
01;200040350;CC Bugey Sud;CC;FPU;41;34 938;34 086;01;01227;200084978;Magnieu;663;651
