id,competenceCode,formulation,consignesJustification,type,thematiqueId,ordonnancement,exprVisible,typesCollectivitesConcernees,description,ColonneNonImportee-Metier
SCoT,5500,La collectivité a-t-elle la compétence « Schéma de cohérence territoriale (SCoT) » ?,,binaire,amenager,1,,,,RefCommun / CAE
urba_1,5510,La collectivité a-t-elle la compétence PLU « Plan local d’urbanisme » ou PLUi « Plan local d’urbanisme intercommunal » ?,,binaire,amenager,2,,,,RefCommun / CAE
PC_1,5540,La collectivité a-t-elle la compétence d'instruction des permis de construire ou assure-t-elle le service auprès de ses communes membres ?,,binaire,amenager,3,,,,RefCommun
urba_2,,La collectivité a-t-elle la compétence d'instruction des permis de construire ?,,binaire,amenager,4,,,,CAE
PC_2,5530,La collectivité a-t-elle la compétence de délivrance des autorisations d'occupation du sol (permis de construire…) ou assure-t-elle le service auprès de ses communes membres ?,,binaire,amenager,5,,,,RefCommun
urba_3,,La collectivité a-t-elle la compétence d'octroi des permis de construire ?,,binaire,amenager,6,,,"<p>Il s'agit de la compétence Banatic 4560</p>
",CAE
Amenag_1,,"La collectivité a-t-elle piloté et/ou joué le rôle d'aménageur dans au moins une opération d'aménagement de son territoire, contractualisée il y a moins de 6 ans, selon l'une des modalités suivantes ?",,binaire,amenager,7,,,"- Cahier des charges de cession ou de réalisation
 - Maîtrise d'ouvrage
 - Concession d’aménagement
 - Via une structure satellite (type SEM ou SPL d'aménagement) sous contrôle de la collectivité
 - Opération de renouvellement urbain ou de requalification du tissu urbain (ex. dispositifs ANRU, dispositifs de dynamisation de centre-ville et centre-bourgs, etc.)",RefCommun
Amenag_2,,La collectivité est-elle en position de piloter de futures opérations d'aménagement dans son territoire selon l'une des modalités suivantes ?,,binaire,amenager,8,,,"- Cahier des Charges de Cession de Terrain
 - Maîtrise d'ouvrage
 - Concession
 - Via une structure satellite (type SEM ou SPL d'aménagement)
 - Opération de renouvellement urbain ou de requalification du tissu urbain (ex. dispositifs ANRU, dispositifs de dynamisation de centre-ville et centre-bourgs, etc.)",RefCommun
Renov,,La collectivité a-t-elle un ou des projets de rénovation/réhabilitation/construction neuves programmés dans les 4 prochaines années ?,,binaire,amenager,9,,,,RefCommun
amenagement_1,,La collectivité (y compris tous les organismes liés) possède-t-elle des terrains utilisables ou vendables (depuis au plus 10 ans) ?,,binaire,amenager,10,,,,CAE
amenagement_2,,La collectivité a-t-elle conclu des ventes ou des contrats d'utilisation (comme des contrats de construction) sur les 10 dernières années ?,,binaire,amenager,11,,,,CAE
SPASER,,La collectivité est-elle soumise au SPASER ?,,binaire,consommer,1,,,"<p>Les SPASER concernent les collectivités ayant un montant total annuel des achats supérieur à 50 millions d’euros hors-taxes.</p>
<p>L’article D. 2111-3 du code de la commande publique précise les contrats à prendre en compte afin de déterminer le montant total annuel des achats et en déduire l’obligation d’établir un schéma de promotion des achats publics socialement et écologiquement responsables.</p>
<p>Sont ainsi concernés les marchés publics conclus en application du code de la commande publique qu’il s’agisse de marchés ou de marchés de partenariat.</p>
<p>Seuls les contrats conclus doivent être pris en compte, c'est-à-dire ceux dont la signature est intervenue au cours de l’année civile de référence. Pour les accords-cadres (à bons de commandes ou à marchés subséquents), c’est le montant des bons de commande émis et des marchés subséquents conclus sur l’année qui doit être pris en compte.</p>
",RefCommun / ECi
dev_eco_3,,La collectivité s'occupe-t-elle des enseignes et des publicités ?,,binaire,consommer,2,,,,RefCommun / CAE
AOM_1,6000,La collectivité a-t-elle la compétence Autorité Organisatrice des Mobilités (AOM) ?,,binaire,deplacer,1,,,,RefCommun / CAE
