id,nom
deplacer,Mieux se déplacer
mobiliser,Mieux mobiliser
loger,Mieux se loger et gérer le patrimoine
preserver,Mieux préserver et valoriser nos écosystèmes
produire,Mieux produire
nourrir,Mieux se nourrir
consommer,Mieux consommer
planifier,Mieux planifier et piloter
piloter_cooperer,Mieux piloter et coopérer
amenager,Aménager son territoire​
patrimoine,Mieux gérer le patrimoine du territoire
agri_alim,Agriculture et alimentation
dechets,Déchets
developpement_economique,Développement économique
eau_assainissement,Eau et assainissement
energie,Énergie
enfance,Agir dans l'éducation et l'enfance
foret,Forêts
identite,Identité
mobilite,Mobilité
tourisme,Tourisme
urbanisme_habitat,"Urbanisme, aménagement et habitat"
ultramarin,Outre-mer
