identifiantReferentiel,titre,unite,titreCourt,titreLong,parents,categories,thematiques,actionIds,valeurCalcule,participationScore,sansValeurUtilisateur,borneMin,borneMax,precision,description,exprCible,exprSeuil,libelleCibleSeuil
cae_1.a,Émissions de gaz à effet de serre,kteq CO2,,Quantité de gaz à effet de serre émis par les activités et les habitants,,"agregation, cae, clef, crte, pcaet, SYDEV",energie_et_climat,cae_1.1.1,val(cae_1.c)+val(cae_1.d)+val(cae_1.g)+opt_val(cae_1.h)+val(cae_1.i)+opt_val(cae_1.j)+val(cae_1.k),FALSE,FALSE,,,2,"Émissions de gaz à effet de serre globales annuelles du territoire exprimées en kilo tonnes équivalent CO2. L'indicateur, issu d'un diagnostic d'émissions de gaz à effet de serre mesure la quantité totale d'émissions annuelle des différents secteurs d'activités et des habitants du territoire, selon les exigences réglementaires des PCAET (décret n°2016-849 du 28 juin 2016 et arrêté du 4 août 2016 relatifs au plan climat-air-énergie territorial). A savoir : les émissions directes produites par l'ensemble des secteurs résidentiel, tertiaire, transport routier, autres transports, agriculture, déchets, industrie hors branche énergie, branche énergie (hors production d'électricité, de chaleur et de froid pour les émissions de gaz à effet de serre, dont les émissions correspondantes sont comptabilisées au stade de la consommation). Il ne s'agit pas du bilan GES ""Patrimoine et compétences"".

**Modalités de calcul:** Pour définir les émissions de GES, se référer à l’outil Bilan GES Territoire de l’Ademe [https://www.bilans-ges.ademe.fr/fr/accueil/contenu/index/page/Bilan%2BGES%2BTerritoires/siGras/0](https://www.bilans-ges.ademe.fr/fr/accueil/contenu/index/page/Bilan%2BGES%2BTerritoires/siGras/0)

**Objectif opérationnel national fixé par les documents de référence:** Stratégie Nationale Bas Carbone (SNBC) :

-   Valeur cible à 1,1 teqCO2/hab d’ici 2050
-   40 % émissions GES globales en 2030 (loi de transition énergétique)/ -75 % en 2050 (par rapport à 1990 - loi POPE)
-   35 % émissions GES du secteur industriel en 2030 / 80 % en 2050 (par rapport à 1990)
-   50 % émissions GES du secteur agricole en 2050 (par rapport à 2015)
-   0 GES liées à la production d’énergie en 2050
-   0 GES liées au secteur du bâtiment en 2050 (100 % de bâtiments neutres)""",,,
cae_1.aa,Emissions de gaz à effet de serre totales nettes,kteq CO2,,Emissions  de gaz à effet de serre totales nettes,,,energie_et_climat,,,FALSE,FALSE,,,2,Prend en compte la capture et stockage du carbone,,,
cae_1.b,Emissions de gaz à effet de serre par habitant,teq CO2/hab,,Emissions de gaz à effet de serre du territoire par habitant,,"cae, crte",energie_et_climat,cae_1.1.1,val(cae_1.a)/val(terr_1)*1000,FALSE,FALSE,,,2,"Indicateur ""Emissions de gaz à effet de serre territoriale"" divisé par la population totale du territoire pour l'année concernée (source: INSEE).",,,
cae_1.c,Emissions de gaz à effet de serre - résidentiel,kteq CO2,Résidentiel,Emissions de gaz à effet de serre du secteur résidentiel,cae_1.a,"agregation, cae, pcaet, clef",urbanisme_et_amenagement,cae_1.2.4,opt_val(cae_1.ca)+opt_val(cae_1.cb)+opt_val(cae_1.cc),FALSE,FALSE,,,2,,,,
cae_1.ca,Emissions de gaz à effet de serre - résidentiel - Chauffage / Maisons individuelles,kteq CO2,Chauffage / Maisons individuelles,Emissions de gaz à effet de serre secteur Résidentiel - Chauffage / Maisons individuelles,cae_1.c,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_1.cb,Emissions de gaz à effet de serre - résidentiel - Chauffage / Logement collectif,kteq CO2,Chauffage / Logement collectif,Emissions de gaz à effet de serre secteur Résidentiel - Chauffage / Logement collectif,cae_1.c,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_1.cc,Emissions de gaz à effet de serre - résidentiel - Autres usages,kteq CO2,Autres usages,Emissions de gaz à effet de serre secteur Résidentiel - Autres usages,cae_1.c,cae,urbanisme_et_amenagement,,,FALSE,FALSE,,,2,,,,
cae_1.csc,Capture et stockage technologique du carbone,kteq CO2,,Capture et stockage technologique du carbone,,cae,energie_et_climat,,,FALSE,FALSE,,,2,,,,
cae_1.d,Emissions de gaz à effet de serre - tertiaire,kteq CO2,Tertiaire,Emissions de gaz à effet de serre du secteur tertiaire,cae_1.a,"agregation, cae, pcaet, clef",activites_economiques,cae_6.3.1,opt_val(cae_1.da)+opt_val(cae_1.db),FALSE,FALSE,,,2,,,,
cae_1.da,Emissions de gaz à effet de serre - tertiaire - Chauffage,kteq CO2,Chauffage,Emissions de gaz à effet de serre secteur Tertiaire - Chauffage,cae_1.d,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.db,Emissions de gaz à effet de serre - tertiaire - Autres usages,kteq CO2,Autres usages,Emissions de gaz à effet de serre secteur Tertiaire - Autres usages,cae_1.d,cae,activites_economiques,,,FALSE,FALSE,,,2,,,,
cae_1.e,Emissions de gaz à effet de serre - transport routier,kteq CO2,Transport routier,Emissions de gaz à effet de serre du secteur du transport routier,cae_1.k,"agregation, cae, pcaet",mobilite_et_transport,cae_1.2.2,opt_val(cae_1.ea)+opt_val(cae_1.eb),FALSE,FALSE,,,2,,,,
cae_1.ea,Emissions de gaz à effet de serre - Transport routier - mobilité locale,kteq CO2,Mobilité locale,Emissions de gaz à effet de serre secteur Transport routier - mobilité locale,cae_1.e,cae,mobilite_et_transport,,,FALSE,FALSE,,,2,,,,
cae_1.eb,Emissions de gaz à effet de serre - Transport routier - autre,kteq CO2,Autre,Emissions de gaz à effet de serre secteur Transport routier - autre,cae_1.e,cae,mobilite_et_transport,,,FALSE,FALSE,,,2,,,,
cae_1.f,"Emissions de gaz à effet de serre - ""autres transports""",kteq CO2,Autres transports,Emissions de gaz à effet de serre du secteur des autres transports (hors routier),cae_1.k,"cae, pcaet",mobilite_et_transport,cae_1.2.2,,FALSE,FALSE,,,2,,,,
cae_1.g,Emissions de gaz à effet de serre - agriculture,kteq CO2,Agriculture,Emissions de gaz à effet de serre du secteur de l'agriculture,cae_1.a,"agregation, cae, pcaet, clef",agri_alim,cae_6.4.1,opt_val(cae_1.ga)+opt_val(cae_1.gb)+opt_val(cae_1.gc),FALSE,FALSE,,,2,,,,
cae_1.ga,Emissions de gaz à effet de serre - agriculture - Energie,kteq CO2,Energie,Emissions de gaz à effet de serre secteur Agriculture - Energie,cae_1.g,cae,agri_alim,,,FALSE,FALSE,,,2,,,,
cae_1.gb,Emissions de gaz à effet de serre - agriculture - Elevage,kteq CO2,Elevage,Emissions de gaz à effet de serre secteur Agriculture - Elevage,cae_1.g,cae,agri_alim,,,FALSE,FALSE,,,2,,,,
cae_1.gc,Emissions de gaz à effet de serre - agriculture - Pratiques culturales,kteq CO2,Pratiques culturales,Emissions de gaz à effet de serre secteur Agriculture - Pratiques culturales,cae_1.g,cae,agri_alim,,,FALSE,FALSE,,,2,,,,
cae_1.h,Emissions de gaz à effet de serre - déchets,kteq CO2,Déchets,Emissions de gaz à effet de serre du secteur des déchets,cae_1.a,"cae, pcaet, clef",eci_dechets,cae_1.2.3,,FALSE,FALSE,,,2,,,,
