,siren,nom,nature
0,200042935,Haut - Bugey Agglomération,CA
1,200071751,CA du Bassin de Bourg-en-Bresse,CA
2,240100750,CA du Pays de Gex,CA
3,200029999,CC Rives de l'Ain - Pays du Cerdon,CC
4,200040350,CC Bugey Sud,CC
5,200042497,CC Dombes Saône Vallée,CC
6,200069193,CC de la Dombes,CC
7,200070118,CC Val de Saône Centre,CC
8,200070555,CC de la Veyle,CC
9,200071371,CC Bresse et Saône,CC
10,240100610,CC de la Côtière à Montluel,CC
11,240100800,CC de Miribel et du Plateau,CC
12,240100883,CC de la Plaine de l'Ain,CC
13,240100891,CC du Pays Bellegardien (CCPB),CC
77,250101086,SM intercommunal de destruction des ordures ménagères Veyle Saône,SMF
80,250102365,SM de traitement des déchets ménagers et assimilés (ORGANOM),SMF
81,250102373,SM pour le traitement des déchets ménagers et assimilés (SM de Crocu),SMF
83,257401620,SM intercommunal de gestion des déchets du Faucigny Genevois (SIDEFAGE),SMF
91,200043495,CA du Pays de Laon,CA
92,200071785,CA Chauny Tergnier La Fère,CA
93,200071892,CA du Saint-Quentinois,CA
94,200072031,CA de la Région de Château-Thierry,CA
95,240200477,GrandSoissons Agglomération,CA
96,200040426,CC du Val de l'Oise,CC
97,200071769,CC Picardie des Châteaux,CC
98,200071983,CC Thiérache Sambre et Oise,CC
99,200071991,CC Retz en Valois,CC
100,240200444,CC de la Thiérache du Centre,CC
101,240200469,CC du Pays de la Serre,CC
102,240200493,CC du Pays du Vermandois,CC
103,240200501,CC du Val de l'Aisne,CC
104,240200519,CC du Canton d'Oulchy le Château,CC
105,240200576,CC de la Champagne Picarde,CC
106,240200584,CC du Canton de Charly sur Marne,CC
107,240200592,CC du Chemin des Dames,CC
108,240200600,CC des Trois Rivières,CC
109,240200634,CC des Portes de la Thiérache,CC
293,250200383,SI de ramassage et de traitement des ordures ménagères (SIRTOM) de la région de Laon ,SMF
306,250208790,Valor'Aisne (Syndicat départemental de traitement des déchets ménagers de l'Aisne),SMO
309,200085694,PETR du Soissonnais et du Valois,PETR
310,200071082,CA Montluçon Communauté,CA
311,200071140,CA Moulins Communauté,CA
312,200071363,CA Vichy Communauté,CA
313,200071389,CC Saint-Pourçain Sioule Limagne,CC
314,200071470,CC Entr'Allier Besbre et Loire,CC
315,200071496,CC du Bocage Bourbonnais,CC
316,200071512,CC Commentry Montmarault Néris Communauté,CC
317,240300491,CC du Pays de Lapalisse,CC
318,240300558,CC du Pays de Tronçais,CC
319,240300566,CC du Val de Cher,CC
320,240300657,CC du Pays d'Huriel,CC
380,250300050,SI de collecte et de traitement des ordures ménagères (SICTOM) Sud-Allier,SMF
381,250300217,SM de collecte et de traitement des ordures ménagères Nord-Allier (SICTOM Nord Allier),SMF
383,250303039,SI de collecte et de traitement des ordures ménagères (SICTOM) du secteur de Cérilly,SMF
385,250303294,SM intercommunal de collecte et de traitement d'ordures ménagères de la région montluçonnaise,SMF
390,200034700,CA Durance-Lubéron-Verdon Agglomération,CA
391,200067437,CA Provence-Alpes-Agglomération,CA
392,200068625,"CC Alpes-Provence-Verdon ""Sources de lumière""",CC
393,200068765,CC du Sisteronais-Buëch,CC
394,200071025,CC Haute-Provence-Pays de Banon,CC
395,200071033,CC Jabron-Lure-Vançon-Durance,CC
396,200072304,CC Vallée de l'Ubaye - Serre-Ponçon,CC
397,240400440,CC Pays Forcalquier et Montagne de Lure,CC
436,250401221,SM départemental d'élimination et de valorisation des ordures ménagères (SYDEVOM) des Alpes-de-Haute-Provence,SMO
437,200067825,CA Gap-Tallard-Durance,CA
438,200067320,CC Serre-Ponçon Val d'Avance,CC
439,200067445,CC Buëch-Dévoluy,CC
440,200067452,CC du Guillestrois et du Queyras,CC
441,200067742,CC Serre-Ponçon,CC
442,200068096,CC Champsaur-Valgaudemar,CC
443,240500439,CC du Briançonnais,CC
444,240500462,CC du Pays des Ecrins,CC
484,250500790,"Syndicat Mixte de Traitement des Ordures Ménagères du Guillestrois, du Queyras et de l'Argentiérois (SMITOMGA)",SMF
496,200030195,Métropole Nice Côte d'Azur,METRO
497,200039857,CA du Pays de Grasse,CA
498,200039915,CA Cannes Pays de Lérins,CA
499,240600551,CA de la Riviera Française,CA
500,240600585,CA de Sophia Antipolis,CA
501,200039931,CC Alpes d'Azur,CC
502,240600593,CC du Pays des Paillons,CC
524,240600023,SIVOM de Valberg,SIVOM
543,200000586,SM d'élimination des déchets (SMED),SMO
547,200046076,SM pour la valorisation des déchets UNIVALOM,SMO
561,200071413,CA Privas Centre Ardèche,CA
562,200072015,CA Annonay Rhône Agglo,CA
563,200073096,CA Arche Agglo,CA
564,200016905,CC du Pays de Lamastre,CC
565,200039808,CC des Gorges de l'Ardèche,CC
566,200039824,CC Ardèche des Sources et Volcans,CC
567,200039832,CC Pays des Vans en Cévennes,CC
568,200041366,CC Rhône Crussol,CC
569,200041465,CC Val Eyrieux,CC
570,200071405,CC Ardèche Rhône Coiron,CC
571,200072007,CC de la Montagne d'Ardèche,CC
572,200073245,CC du Bassin d'Aubenas,CC
573,240700302,CC du Pays Beaume-Drobie,CC
574,240700617,CC Val de Ligne,CC
575,240700716,CC du Val d'Ay,CC
576,240700815,CC Berg et Coiron,CC
577,240700864,CC du Rhône aux Gorges de l'Ardèche,CC
640,250700135,SI de collecte et de traitement des ordures ménagères du secteur Eyrieux-Doux (SICTOMSED),SMF
641,250700218,SI de collecte et de traitement des ordures ménagères de la Basse-Ardèche (SICTOBA),SMF
646,250701851,Syndicat pour la destruction des ordures ménagères du secteur d'Aubenas (SIDOMSA),SMF
659,200041630,Ardenne Métropole,CA
660,200041622,CC Ardennes Thiérache,CC
661,200043156,CC du Pays Réthelois,CC
662,200067759,CC Vallées et Plateau d'Ardenne,CC
663,240800821,"CC Ardenne, Rives de Meuse",CC
664,240800847,CC des Portes du Luxembourg,CC
665,240800862,CC des Crêtes Préardennaises,CC
666,240800920,CC de l'Argonne Ardennaise,CC
766,200088730,"SM du SCOT ""Nord Ardennes""",SMF
770,250800646,SICOMAR de l'arrondissement de Réthel,SMF
775,250800489,SM de traitement des déchets Ardennais (VALODEA),SMO
779,200067791,CA Pays Foix-Varilhes,CA
780,200044469,CC du Pays de Mirepoix,CC
781,200066223,CC Arize Lèze,CC
782,200066231,CC des Portes d'Ariège Pyrénées,CC
783,200066363,CC de la Haute Ariège,CC
784,200067940,CC Couserans-Pyrénées,CC
785,240900431,CC du Pays de Tarascon,CC
786,240900464,CC du Pays d'Olmes,CC
822,240900399,"SM d'étude, de collecte et de traitement des déchets ménagers et assimilés du Plantaurel (SMECTOM du Plantaurel)",SMF
834,200069250,CA Troyes Champagne Métropole,CA
835,200000545,CC des Portes de Romilly sur Seine,CC
836,200006716,CC du Nogentais,CC
837,200040137,CC des Lacs de Champagne,CC
838,200066892,CC de Vendeuvre-Soulaines,CC
839,200069003,CC du Barséquanais en Champagne,CC
840,200070126,CC Seine et Aube,CC
841,200071041,CC du Chaourçois et du Val d'Armance,CC
842,200071777,"CC d'Arcis, Mailly, Ramerupt",CC
843,241000223,"CC Forêts, Lacs, Terres en Champagne",CC
844,241000405,CC de la Région de Bar sur Aube,CC
845,241000447,CC du Pays d'Othe,CC
846,241000488,CC de l'Orvin et de l'Ardusson,CC
905,251002515,SM d'élimination des déchets ménagers du territoire d'Orient,SMF
910,251002531,Syndicat départemental d'élimination des déchets de l'Aube (SDEDA),SMO
914,200035715,CA Carcassonne Agglo,CA
915,241100593,CA Le Grand Narbonne,CA
916,200035707,CC Piège Lauragais Malepère,CC
917,200035855,CC Castelnaudary Lauragais Audois,CC
918,200035863,"CC Région Lézignanaise, Corbières et Minervois",CC
919,200042463,CC de la Montagne Noire,CC
920,200043776,CC Pyrénées audoises,CC
921,200071926,CC du Limouxin,CC
991,200036101,COVALDEM 11 ,SMF
1000,251100236,SMICTOM de l'Ouest Audois,SMF
1013,241200187,CA Rodez Agglomération,CA
1014,200067064,CC Decazeville Communauté,CC
1015,200067155,"CC Saint Affricain, Roquefort, Sept Vallons",CC
1016,200067163,"CC Monts, Rance et Rougier",CC
1017,200067171,"CC Aubrac, Carladez et Viadène",CC
1018,200067478,CC Comtal Lot et Truyère,CC
1019,200068484,CC des Causses à l'Aubrac,CC
1020,200068831,Pays Ségali Communauté,CC
1021,200069383,Ouest Aveyron Communauté,CC
1022,241200542,CC du Réquistanais,CC
1023,241200567,CC de Millau Grands Causses,CC
1024,241200625,CC du Pays Rignacois,CC
1025,241200641,CC Conques-Marcillac,CC
1026,241200658,CC du Pays de Salars,CC
1027,241200674,CC du Plateau de Montbazens,CC
1028,241200765,CC de Lévézou Pareloup,CC
1029,241200807,CC Aveyron Bas Ségala Viaur,CC
1030,241200906,CC Larzac et Vallées,CC
1031,241200914,CC de la Muse et des Raspes du Tarn,CC
1066,251200978,SMICTOM Nord Aveyron,SMF
1082,251201588,SM départemental pour le traitement et la valorisation des déchets ménagers et assimilés (SYDOM Aveyron),SMO
1087,200054807,Métropole d'Aix-Marseille-Provence,METRO
1088,200035087,CA Terre de Provence,CA
1089,241300417,CA d'Arles-Crau-Camargue-Montagnette,CA
1090,241300375,CC  Vallée des Baux-Alpilles (CC VBA),CC
1134,200065597,CU Caen la Mer,CU
1135,200069532,CA Lisieux Normandie,CA
1136,200065563,CC Normandie-Cabourg-Pays d'Auge,CC
1137,200065589,CC Val ès Dunes,CC
1138,200066710,CC Cingal-Suisse Normande,CC
1139,200066728,CC Vallées de l'Orne et de l'Odon,CC
