region_code;siren;nom
01;239710015;Conseil Régional de la Guadeloupe
02;200055507;Collectivité Territoriale de Martinique
03;200052678;Collectivité Territoriale de Guyane
04;239740012;Région La Réunion
06;229850003;Département-Région de Mayotte
11;237500079;Région Île-de-France
24;234500023;Région Centre-Val de Loire
27;200053726;Région Bourgogne-Franche-Comté
28;200053403;Région Normandie
32;200053742;Région Hauts-de-France
44;200052264;Région Grand Est
52;234400034;Région des Pays de la Loire
53;233500016;Région Bretagne
75;200053759;Région Nouvelle-Aquitaine
76;200053791;Région Occitanie
84;200053767;Région Auvergne-Rhône-Alpes
93;231300021;Région Provence-Alpes-Côte d'Azur
94;200076958;Collectivité de Corse
