region_code;siret;nom
01;38529030900389;Direction Régionale (DR) Ademe Guadeloupe
02;38529030900595;Direction Régionale (DR) Ademe Martinique
03;38529030900538;Direction Régionale (DR) Ademe Guyane
04;38529030900397;Direction Régionale (DR) Ademe Océan Indien
06;38529030900397;Direction Régionale (DR) Ademe Océan Indien
11;38529030900199;Direction Régionale (DR) Ademe Île-de-France
24;38529030900579;Direction Régionale (DR) Ademe Centre-Val de Loire
27;38529030900520;Direction Régionale (DR) Ademe Bourgogne-Franche-Comté
28;38529030900314;Direction Régionale (DR) Ademe Normandie
32;38529030900561;Direction Régionale (DR) Ademe Hauts-de-France
44;38529030900611;Direction Régionale (DR) Ademe Grand Est
52;38529030900686;Direction Régionale (DR) Ademe Pays de la Loire
53;38529030900546;Direction Régionale (DR) Ademe Bretagne
75;38529030900496;Direction Régionale (DR) Ademe Nouvelle-Aquitaine
76;38529030900603;Direction Régionale (DR) Ademe Occitanie
84;38529030900371;Direction Régionale (DR) Ademe Auvergne-Rhône-Alpes
93;38529030900629;Direction Régionale (DR) Ademe Provence-Alpes-Côte d'Azur
94;38529030900504;Direction Régionale (DR) Ademe Corse
