region_code;siren;nom
01;130013915;Direction de l'Environnement, de l'Aménagement et du Logement Guadeloupe (DEAL)
02;130014236;Direction de l'Environnement, de l'Aménagement et du Logement Martinique (DEAL)
03;130026586;Direction Générale des Territoires et de la Mer (DGTM)
04;130014368;Direction de l'Environnement, de l'Aménagement et du Logement La Réunion (DEAL)
06;130017395;Direction de l'Environnement, de l'Aménagement, du Logement et de la Mer de Mayotte (DEALM)
11;130029325;Direction Régionale et interdépartementale de l'environnement, de l'aménagement et des transports (DRIEAT) - Île-de-France
24;130009301;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Centre-Val de Loire (DREAL)
27;130009012;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Bourgogne-Franche-Comté (DREAL)
28;130006265;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Normandie (DREAL)
32;130006570;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Hauts-de-France (DREAL)
44;130010259;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Grand Est (DREAL)
52;130006109;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Pays de la Loire (DREAL)
53;130010002;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Bretagne (DREAL)
75;130010457;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Nouvelle-Aquitaine (DREAL)
76;130006091;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Occitanie (DREAL)
84;130006729;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Auvergne-Rhône-Alpes (DREAL)
93;130006380;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Provence-Alpes-Côte d'Azur (DREAL)
94;130006596;Direction Régionale de l'Environnement, de l'Aménagement et du Logement Corse (DREAL)
